Type,Statistics,Definition
Population,Head of Domestic Households,"The person acknowledged by members of the household to be responsible for making major decisions affecting the household. This person can be any male or female member of the household. Household might report more than one household head."
Population,"Persons Attending Full-time Courses in Educational Institutions in Hong Kong","Persons studying full-time (including pre-primary, primary, secondary and post-secondary educational institutions). Full-time students include student workers."
Population,Population,"Population refers to the Hong Kong Resident Population. The Hong Kong Resident Population at the reference moment covers “Usual Residents” and “Mobile Residents”. “Usual Residents” refer to two categories of people: (1) Hong Kong Permanent Residents who had stayed in Hong Kong for at least 3 months during the 6 months before or for at least 3 months during the 6 months after the reference moment, regardless of whether they were in Hong Kong or not at the reference moment; and (2) Hong Kong Non-permanent Residents who were in Hong Kong at the reference moment. For those Hong Kong Permanent Residents who were not “Usual Residents”, they were classified as “Mobile Residents” if they had stayed in Hong Kong for at least 1 month but less than 3 months during the 6 months before or for at least 1 month but less than 3 months during the 6 months after the reference moment, regardless of whether they were in Hong Kong or not at the reference moment."
Population,"Population (Excluding Foreign Domestic Helpers)","Population refers to the Hong Kong Resident Population. The Hong Kong Resident Population at the reference moment covers “Usual Residents” and “Mobile Residents”. “Usual Residents” refer to two categories of people: (1) Hong Kong Permanent Residents who had stayed in Hong Kong for at least 3 months during the 6 months before or for at least 3 months during the 6 months after the reference moment, regardless of whether they were in Hong Kong or not at the reference moment; and (2) Hong Kong Non-permanent Residents who were in Hong Kong at the reference moment. For those Hong Kong Permanent Residents who were not “Usual Residents”, they were classified as “Mobile Residents” if they had stayed in Hong Kong for at least 1 month but less than 3 months during the 6 months before or for at least 1 month but less than 3 months during the 6 months after the reference moment, regardless of whether they were in Hong Kong or not at the reference moment. Foreign domestic helpers are excluded."
Population,"Population Having Internally Migrated","Persons whose area of current residence was different from the area of original residence five years ago. In defining internal migration, a change in the area of residence refers to a move (a) from a District Council District to another District Council District; or (b) within a District Council District in the New Territories, from a new town to another new town, or from a new town to other areas in the district or vice versa."
Population,"Population in Domestic Households","Persons living in a domestic household."
Population,"Children (aged under 18) (excluding foreign domestic helpers)","-"
Population,"Children (aged under 18) (excluding foreign domestic helpers) in domestic household","-"
Population,"Ethnic Minorities","Persons who report themselves being of non-Chinese ethnicity, including those with more than one ethnicity. In the Population Census/By census, the ethnicity of a person is determined by self-identification."
Population,"Ethnic Minorities (Excluding Foreign Domestic Helpers)","Persons who report themselves being of non-Chinese ethnicity, including those with more than one ethnicity. In the Population Census/By census, the ethnicity of a person is determined by self-identification, excluding foreign domestic helpers."
Population,"Median Age","The average age so calculated that 50% of the total number of persons were above that age and the other 50% were below it."
Population,"Mobile Residents","The Hong Kong Resident Population at the reference moment covers “Usual Residents” and “Mobile Residents”. “Usual Residents” refer to two categories of people: (1) Hong Kong Permanent Residents who had stayed in Hong Kong for at least 3 months during the 6 months before or for at least 3 months during the 6 months after the reference moment, regardless of whether they were in Hong Kong or not at the reference moment; and (2) Hong Kong Non-permanent Residents who were in Hong Kong at the reference moment. For those Hong Kong Permanent Residents who are not “Usual Residents”, they are classified as “Mobile Residents” if they had stayed in Hong Kong for at least 1 month but less than 3 months during the 6 months before or for at least 1 month but less than 3 months during the 6 months after the reference moment, regardless of whether they were in Hong Kong or not at the reference moment. Under the “resident population” approach, visitors are not included in the Hong Kong Population."
Population,"Older Persons","Persons aged 65 and over."
Population,"Older Persons in Domestic Households","Persons aged 65 and over in domestic households."
Population,"Persons Aged 60 and Over Living in Domestic Households","-"
Population,"Persons Aged 60 and Over Living in Domestic Households Who Had Another Person Taking Long-Term Care","-"
Population,"Persons Aged 60 and Over With Long-Term Care Needs and Living in Domestic Households","-"
Population,"Persons from the Mainland Having Resided in Hong Kong for Less Than 7 Years","Persons who (i) were born in the Mainland of China; (ii) were with nationality “Chinese (place of domicile – Hong Kong)”; and (iii) had stayed in Hong Kong for less than 7 years."
Population,"Population Aged 15 and Over in One-person Households","A person aged 15 and over in a one-person household makes provision for essentials for living without sharing with other persons for most of the time in Hong Kong."
Population,"Single Parents","Mothers or fathers who are never married, widowed, divorced or separated, with child(ren) aged under 18 living with them in the same household."
Population,"Single Parents in Domestic Households","Mothers or fathers who are never married, widowed, divorced or separated, with child(ren) aged under 18 living with them in the same domestic household."
Population,"Usual Residents","The Hong Kong Resident Population at the reference moment covers “Usual Residents” and “Mobile Residents”. “Usual Residents” refer to two categories of people: (1) Hong Kong Permanent Residents who had stayed in Hong Kong for at least 3 months during the 6 months before or for at least 3 months during the 6 months after the reference moment, regardless of whether they were in Hong Kong or not at the reference moment; and (2) Hong Kong Non-permanent Residents who were in Hong Kong at the reference moment. For those Hong Kong Permanent Residents who are not “Usual Residents”, they are classified as “Mobile Residents” if they had stayed in Hong Kong for at least 1 month but less than 3 months during the 6 months before or for at least 1 month but less than 3 months during the 6 months after the reference moment, regardless of whether they were in Hong Kong or not at the reference moment. Under the “resident population” approach, visitors are not included in the Hong Kong Population."
Population,"Youths (Excluding Foreign Domestic Helpers)","Persons aged 15-34, excluding foreign domestic helpers."
Population,"Youths in Domestic Households (Excluding Foreign Domestic Helpers)","Persons aged 15-34 in domestic households, excluding foreign domestic helpers."
Labour Force,Employees,"Persons who work for an employer (private companies or government) for wage, salary, commission, tips or payment in kind. Domestic helpers, outworkers and paid family workers are also included here."
Labour Force,"Employees (Excluding Foreign Domestic Helpers)","Persons who work for an employer (private companies or government) for wage, salary, commission, tips or payment in kind. Outworkers and paid family workers are also included but foreign domestic helpers are excluded."
Labour Force,Labour Force,"The population can be divided into two main groups, economically active population (i.e. the labour force) and economically inactive population. Labour force comprises the employed (i.e. the working population) and the unemployed."
Labour Force,"Labour Force (Excluding Foreign Domestic Helpers)","The population can be divided into two main groups, economically active population (i.e. the labour force) and economically inactive population. Labour force comprises the employed (i.e. the working population) and the unemployed. Foreign domestic helpers are excluded."
Labour Force,"Labour Force Participation Rate","The proportion of labour force in the total population aged 15 and over."
Labour Force,"Labour Force Participation Rate (Excluding Foreign Domestic Helpers)","The proportion of labour force in the total population aged 15 and over. Foreign domestic helpers are excluded."
Labour Force,"Labour Force Participation Rates of Ethnic Minorities","The proportion of labour force in the total population aged 15 and over for ethnic minorities."
Labour Force,"Labour Force Participation Rates of Ethnic Minorities (Excluding Foreign Domestic Helpers)","The proportion of labour force in the total population aged 15 and over for ethnic minorities. Foreign domestic helpers are excluded."
Labour Force,"Labour Force Participation Rates of Older Persons","The proportion of labour force in the total population aged 15 and over for older persons."
Labour Force,"Labour Force Participation Rates of Persons from the Mainland Having Resided in Hong Kong for Less Than 7 Years","The proportion of labour force in the total population aged 15 and over for persons from the Mainland having resided in Hong Kong for less than 7 years."
Labour Force,"Labour Force Participation Rates of Single Parents","The proportion of labour force in the total population aged 15 and over for single parents."
Labour Force,"Median Weekly Usual Hours of Work of All Employment","The average weekly usual hours of work of all employment so calculated that 50% of the working population had weekly usual hours of work (calculated based on all employment) above that figure and the other 50% of the working population had weekly usual hours of work (calculated based on all employment) below it."
Labour Force,"Working Ethnic Minorities","Ethnic minorities aged 15 and over who should (a) be engaged in performing work for pay or profit during the 7 days before the Population Censuses/ By-censuses; or (b) have formal job attachment during the 7 days before the Population Censuses/ By-censuses."
Labour Force,"Working Ethnic Minorities (Excluding Foreign Domestic Helpers)","Ethnic minorities aged 15 and over who should (a) be engaged in performing work for pay or profit during the 7 days before the Population Censuses/ By-censuses; or (b) have formal job attachment during the 7 days before the Population Censuses/ By-censuses. Foreign domestic helpers are excluded."
Labour Force,"Working Persons from the Mainland Having Resided in Hong Kong for Less Than 7 Years","Persons from the Mainland having resided in Hong Kong for less than 7 years and aged 15 and over who should (a) be engaged in performing work for pay or profit during the 7 days before the Population Censuses/ By-censuses; or (b) have formal job attachment during the 7 days before the Population Censuses/ By-censuses."
Labour Force,Working Population,"Persons aged 15 and over who should (a) be engaged in performing work for pay or profit during the 7 days before the Population Censuses/ By-censuses; or (b) have formal job attachment during the 7 days before the Population Censuses/ By-censuses."
Labour Force,"Working Population (Excluding Foreign Domestic Helpers)","Persons aged 15 and over who should (a) be engaged in performing work for pay or profit during the 7 days before the Population Censuses/ By-censuses; or (b) have formal job attachment during the 7 days before the Population Censuses/ By-censuses. Foreign domestic helpers are excluded."
Labour Force,"Working Population Aged 15 and Over in One-person Households","A person aged 15 and over in a one-person household who should (a) be engaged in performing work for pay or profit during the 7 days before the Population Censuses/ By-censuses; or (b) have formal job attachment during the 7 days before the Population Censuses/ By-censuses."
Labour Force,Working Single Parents,"Mothers or fathers who are never married, widowed, divorced or separated, with child(ren) aged under 18 living with them in the same household and should (a) be engaged in performing work for pay or profit during the 7 days before the Population Censuses/ By-censuses; or (b) have formal job attachment during the 7 days before the Population Censuses/ By-censuses."
Domestic Households,"Average Domestic Household Size","The average number of persons per domestic household. It is calculated by dividing the total number of persons who were living in domestic households by the total number of domestic households."
Domestic Households,"Average Number of Domestic Households","-"
Domestic Households,Domestic Households,"Domestic households consist of a group of persons who live together and make common provision for essentials for living. These persons need not be related. If a person makes provision for essentials for living without sharing with other persons, he/ she is also regarded as a household. In this case the household is a one-person household. (Note: A domestic household must have at least one member who is a Usual Resident. In the 2011 Population Census, the 2016 Population By-census and the 2021 Population Census, a household comprising Mobile Residents only are not classified as a domestic household.)"
Domestic Households,"Domestic Households (Excluding Foreign Domestic Helpers)","Domestic households consist of a group of persons who live together and make common provision for essentials for living. These persons need not be related. If a person makes provision for essentials for living without sharing with other persons, he/ she is also regarded as a household. In this case the household is a one-person household. Foreign domestic helpers are excluded. (Note: A domestic household must have at least one member who is a Usual Resident. In the 2011 Population Census, the 2016 Population By-census and the 2021 Population Census, a household comprising Mobile Residents only are not classified as a domestic household.)"
Domestic Households,"Domestic Households with Children (Aged under 15)","Domestic households with at least one of the members being aged under 15."
Domestic Households,"Domestic households with children (aged under 18) (excluding foreign domestic helpers)","-"
Domestic Households,"Domestic Households with Older Persons","Domestic households with at least one of the members classified as an older person (aged 65 and over)."
Domestic Households,"Domestic Households with Persons from the Mainland Having Resided in Hong Kong for Less Than 7 Years","Domestic households with at least one of the members classified as a person from the Mainland having resided in Hong Kong for less than 7 years."
Domestic Households,"Domestic Households with Single Household Head Having Internally Migrated","Domestic households with single household head who had internally migrated. Persons having internally migrated were those whose area of current residence was different from the area of residence 5 years ago. In defining internal migration, a change in the area of residence refers to a move (a) from a District Council District to another District Council District; or (b) within a District Council District in the New Territories, from a new town to another new town, or from a new town to other areas in the district or vice versa."
Domestic Households,"Economically Active Domestic Households","Domestic households with at least one member (excluding foreign domestic helpers) being economically active."
Domestic Households,"Elderly Households (Aged 65 and over)","Domestic households with all members (including foreign domestic helpers) aged 65 and over."
Housing,"Domestic Households Renting the Accommodation They Occupy","Domestic households renting the accommodation they occupy, including sole tenants, co-tenants, main tenants, sub-tenants and accommodation provided by employer."
Housing,"Domestic Households with Mortgage Payment and Loan Repayment","Domestic households owning the quarters they occupy with mortgage or loan."
Housing,"Median Floor Area of Accommodation","The average floor area of accommodation so calculated that 50% of the total number of domestic households occupied floor area above that figure and the other 50% occupied floor area below it. The floor area of public rental housing is measured in terms of internal floor area while the floor area of other types of accommodation is measured in terms of saleable floor area. For domestic households sharing a unit of quarters, the floor area of the common area shared among households is excluded. Statistics related to floor area of accommodation presented do not include domestic households living in unsheltered accommodation or on board vessels. Please see Floor area of accommodation. (Note: Owing to the difference in definitions, statistics of floor area of public rental housing are not directly comparable to those of other types of accommodation. Besides, the information of floor area of accommodation as reported by respondents may be subject to different extent of estimation, and hence caution should be exercised in interpreting the statistics concerned.)"
Housing,"Median Monthly Domestic Household Mortgage Payment and Loan Repayment","The average monthly mortgage payment and loan repayment so calculated that 50% of the total number of domestic households owning the quarters they occupy with mortgage or loan paid more than that amount and the other 50% paid less than that. Households with zero mortgage payment and loan repayment by household members (i.e. with mortgage payment and loan repayment by non-household members only) are excluded in the calculation."
Housing,"Median Monthly Domestic Household Rent","The average monthly rent so calculated that 50% of the total number of domestic households renting the accommodation they occupy paid more than that amount and the other 50% paid less than that. Households with zero rent are excluded in the calculation."
Housing,"Median Mortgage Payment and Loan Repayment to Income Ratio","The average percentage of monthly household income paid on monthly mortgage payment and loan repayment so calculated that 50% of domestic households owning the quarters they occupy with mortgage or loan paid more than that percentage and the other 50% paid less than that. Households with zero income and/ or zero mortgage payment and loan repayment by household members (i.e. with mortgage payment and loan repayment by non-household members only) are excluded in the calculation."
Housing,"Median Per Capita Floor Area of Accommodation","The average per capita floor area of accommodation so calculated that 50% of the total number of domestic households occupied per capita floor area above that figure and the other 50% of the total number of domestic households occupied per capita floor area below that figure. The floor area of public rental housing is measured in terms of internal floor area while the floor area of other types of accommodation is measured in terms of saleable floor area. For domestic households sharing a unit of quarters, the floor area of the common area shared among households is excluded. Statistics related to floor area of accommodation presented do not include domestic households living in unsheltered accommodation or on board vessels. Please see Floor area of accommodation. (Note: Owing to the difference in definitions, statistics of floor area of public rental housing are not directly comparable to those of other types of accommodation. Besides, the information of floor area of accommodation as reported by respondents may be subject to different extent of estimation, and hence caution should be exercised in interpreting the statistics concerned.)"
Housing,"Median Rent to Income Ratio","The average percentage of monthly household income paid on monthly household rent so calculated that 50% of domestic households renting the accommodation they occupy paid more than that percentage and the other 50% paid less than that. Households with zero income and/ or zero rent are excluded in the calculation."
Housing,Occupied Quarters,"Quarters refer to such unit of accommodation as flats, houses and structures which could be used for the purpose of accommodation. Occupied Quarters refer to those quarters which were occupied by those people under the Hong Kong Resident Population at the reference moment."
Housing,Owner Occupiers,"Domestic households owning the quarters they occupy (with or without mortgage or loan)."
Housing,"Quarters Occupied by Domestic Households","-"
Income,"Median Monthly Domestic Household Income","The average monthly domestic household income so calculated that 50% of the total number of domestic households had incomes above that figure and the other 50% had incomes below it. Zero income households are included in the calculation."
Income,"Median Monthly Domestic Household Income (Excluding Foreign Domestic Helpers)","The average monthly domestic household income so calculated that 50% of the total number of domestic households had incomes above that figure and the other 50% had incomes below it. Zero income households are included in the calculation. Foreign domestic helpers are excluded."
Income,"Median Monthly Household Income of Economically Active Households","-"
Income,"Median Monthly Income from Main Employment","The average income from main employment so calculated that 50% of the working population, excluding unpaid family workers, had income above that figure and the other 50% had income below it."
Income,"Median Monthly Income from Main Employment (Excluding Foreign Domestic Helpers)","The average income from main employment so calculated that 50% of the working population, excluding unpaid family workers, had income above that figure and the other 50% had income below it. Foreign domestic helpers are excluded."
Income,"Monthly Income from Main Employment","-"
Income,"Monthly Income from Main Employment (Excluding Foreign Domestic Helpers)","-"
Income,"Original Monthly Household Income of Domestic Households","-"
Income,"Original Monthly Household Income of Domestic Households (Excluding Foreign Domestic Helpers)","-"
Income,"Original Monthly Household Income of Economically Active Domestic Households","-"
Income,"Original Monthly Household Income of Economically Active Domestic Households (Excluding Foreign Domestic Helpers)","-"